2
	VALUE ALL : ( Cost : 347.013 , TRT : 590.998 , TWT : 250.086 , TD : 473.927 )
	VIOLATIONS TOTAL : ( VC :       0 , VTW :   0.000 , VTD :   0.000 , VTRT :   0.000 )
 	COUT_ALL : (   0.000 )  T2B:   55201

	16 sommets 
	values : ( Cost : 118.894 , TRT : 121.394 , TWT :   0.000 , TD : 191.559 )
	violations : ( VC :       0 , VTW :   0.000 , VTD :   0.000 , VTRT :   0.000 )
	cout global : (   0.000	 )
S(i)	 (   C ,     TW0 ,       TW1 ,       VTW ,       Min ,       A ,       W ,       B ,       D ,       L ,       F ,       E ,       Det ,       [Imp ,       Imp]	)
   0 	 (   0 ,    0.000 , 1440.000 ,        0 ,    0.000 ,  294.603 ,    0.000 ,  294.603 ,  294.603 ,    0.000 ,   51.526 ,  294.603 ,    0.000 ,        0 , 	)
  11 	 (   4 ,  300.000 ,  420.000 ,        0 ,    5.397 ,  300.000 ,    0.000 ,  300.000 ,  304.000 ,    0.000 ,   51.526 ,    0.000 ,    8.940 ,        1 , 	)
  17 	 (   6 ,  240.000 ,  480.000 ,        0 ,  318.703 ,  318.703 ,    0.000 ,  318.703 ,  320.703 ,    0.000 ,    6.671 ,    0.000 ,   -1.375 ,        2 , 	)
   5 	 (   8 ,  300.000 ,  420.000 ,        0 ,  323.026 ,  323.026 ,    0.000 ,  323.026 ,  325.026 ,    0.000 ,    6.671 ,    0.000 ,    3.838 ,        3 , 	)
  28 	 (   4 ,  316.241 ,  457.000 ,        0 ,  330.329 ,  330.329 ,    0.000 ,  330.329 ,  334.329 ,   26.329 ,    6.671 ,    0.000 ,   -2.487 ,        4 , 	)
  34 	 (   2 ,  298.000 ,  538.000 ,        0 ,  353.372 ,  353.372 ,    0.000 ,  353.372 ,  355.372 ,   32.669 ,   43.331 ,    0.000 ,    0.000 ,        5 , 	)
   9 	 (   5 ,  310.000 ,  417.592 ,        0 ,  355.372 ,  355.372 ,    0.000 ,  355.372 ,  358.372 ,    0.000 ,   51.526 ,    0.000 ,    0.000 ,        6 , 	)
  16 	 (   6 ,  240.000 ,  420.000 ,        0 ,  362.044 ,  362.044 ,    0.000 ,  362.044 ,  363.044 ,    0.000 ,   36.898 ,    0.000 ,    0.755 ,        7 , 	)
  22 	 (   4 ,  332.000 ,  512.000 ,        0 ,  365.091 ,  365.091 ,    0.000 ,  365.091 ,  367.091 ,   40.065 ,   16.366 ,    0.000 ,    0.286 ,        8 , 	)
   7 	 (   6 ,  240.000 ,  480.000 ,        0 ,  371.999 ,  371.999 ,    0.000 ,  371.999 ,  373.999 ,    0.000 ,   16.366 ,    0.000 ,    0.011 ,        9 , 	)
  24 	 (   4 ,  260.000 ,  500.000 ,        0 ,  383.728 ,  383.728 ,    0.000 ,  383.728 ,  385.728 ,    9.729 ,   16.271 ,    0.000 ,    1.750 ,       10 , 	)
  33 	 (   3 ,  271.000 ,  451.000 ,        0 ,  388.678 ,  388.678 ,    0.000 ,  388.678 ,  389.678 ,   25.634 ,   16.366 ,    0.000 ,    1.022 ,       11 , 	)
