2
	VALUE ALL : ( Cost : 418.763 , TRT : 568.202 , TWT : 177.343 , TD : 689.589 )
	VIOLATIONS TOTAL : ( VC :       0 , VTW :   0.000 , VTD :   0.000 , VTRT :   0.000 )
 	COUT_ALL : (   0.000 )  T2B:   55801

	22 sommets 
	values : ( Cost : 223.717 , TRT : 342.832 , TWT : 134.623 , TD : 280.601 )
	violations : ( VC :       0 , VTW :   0.000 , VTD :   0.000 , VTRT :   0.000 )
	cout global : (   0.000	 )
S(i)	 (   C ,     TW0 ,       TW1 ,       VTW ,       Min ,       A ,       W ,       B ,       D ,       L ,       F ,       E ,       Det ,       [Imp ,       Imp]	)
   0 	 (   0 ,    0.000 , 1440.000 ,        0 ,    0.000 ,  838.239 ,    0.000 ,  838.239 ,  838.239 ,    0.000 ,    0.000 ,  838.239 ,    0.000 ,        0 , 	)
  19 	 (   3 ,  780.000 ,  900.000 ,        0 ,   10.492 ,  848.731 ,    0.000 ,  848.731 ,  851.731 ,    0.000 ,    0.000 ,   68.731 ,    3.965 ,        1 , 	)
  18 	 (   4 ,  720.000 ,  960.000 ,        0 ,  786.074 ,  854.805 ,    0.000 ,  854.805 ,  855.805 ,    0.000 ,    0.000 ,   68.731 ,    0.000 ,        2 , 	)
  12 	 (   8 ,  840.000 ,  960.000 ,        0 ,  787.074 ,  855.805 ,    0.000 ,  855.805 ,  859.805 ,    0.000 ,    0.000 ,   15.805 ,    0.000 ,        3 , 	)
  38 	 (   7 ,  831.000 , 1011.000 ,        0 ,  868.192 ,  883.998 ,    0.000 ,  883.998 ,  884.998 ,   28.192 ,    0.000 ,   15.805 ,    0.000 ,        4 , 	)
  39 	 (   4 ,  809.656 ,  974.000 ,        0 ,  869.192 ,  884.998 ,    0.000 ,  884.998 ,  887.998 ,   33.267 ,    0.000 ,   15.805 ,    0.000 ,        5 , 	)
  32 	 (   0 ,  868.192 , 1029.000 ,        0 ,  872.192 ,  887.998 ,    0.000 ,  887.998 ,  891.998 ,   28.192 ,    0.000 ,   15.805 ,    0.000 ,        6 , 	)
   7 	 (   1 ,  720.000 ,  900.000 ,        0 ,  884.005 ,  899.811 ,    0.000 ,  899.811 ,  900.811 ,    0.000 ,    0.000 ,   15.805 ,   -3.078 ,        7 , 	)
  27 	 (   0 ,  801.000 ,  921.000 ,        0 ,  900.123 ,  915.929 ,    0.000 ,  915.929 ,  916.929 ,   15.118 ,    0.000 ,   15.805 ,    0.000 ,        8 , 	)
   1 	 (   3 ,  720.000 ,  960.000 ,        0 ,  901.123 ,  916.929 ,    0.000 ,  916.929 ,  919.929 ,    0.000 ,    0.000 ,   15.805 ,    0.000 ,        9 , 	)
   2 	 (   7 ,  720.000 ,  960.000 ,        0 ,  909.002 ,  924.808 ,    0.000 ,  924.808 ,  928.808 ,    0.000 ,    0.000 ,   15.805 ,    3.062 ,       10 , 	)
  22 	 (   3 ,  772.000 , 1012.000 ,        0 ,  937.195 ,  953.000 ,    0.000 ,  953.000 ,  957.000 ,   24.192 ,    0.000 ,   15.805 ,    0.000 ,       11 , 	)
